img_id	confidence	recall	area
biodiversity_0001	0.893938	0.973074	0.00510025
biodiversity_0002	0.940783	0.984525	0.00517654
biodiversity_0005	0.762689	0.794946	0.05283356
biodiversity_0006	0.820761	0.852273	0.04867554
biodiversity_0007	0.838927	0.868603	0.03414154
biodiversity_0016	0.511414	0.564457	0.03775787
biodiversity_0017	0.402086	0.452705	0.01036453
biodiversity_0019	0.718651	0.791052	0.00827026
biodiversity_0021	0.920871	0.941894	0.25557709
biodiversity_0022	0.865181	0.892855	0.10431671
biodiversity_0024	0.873108	0.903519	0.06081009
biodiversity_0027	0.723948	0.754047	0.12772369
biodiversity_0028	0.679456	0.716906	0.08380127
biodiversity_0031	0.455534	0.501929	0.01285172
biodiversity_0032	0.758015	0.769240	0.03231812
biodiversity_0034	0.646375	0.732183	0.02231979
biodiversity_0035	0.311367	0.339942	0.02231979
biodiversity_0043	0.783990	0.845918	0.01616669
biodiversity_0047	0.920561	0.960413	0.02881241
biodiversity_0049	0.767510	0.792040	0.07245636
biodiversity_0050	0.767122	0.793330	0.08601379
biodiversity_0051	0.754849	0.788966	0.05455399
biodiversity_0052	0.783936	0.824680	0.05304718
biodiversity_0053	0.804079	0.837740	0.03679276
biodiversity_0060	0.808843	0.880145	0.01260376
biodiversity_0064	0.678233	0.707184	0.06361389
biodiversity_0065	0.662762	0.696575	0.03107834
biodiversity_0066	0.767288	0.793460	0.05051422
biodiversity_0068	0.694472	0.738299	0.05249023
biodiversity_0069	0.831186	0.858532	0.08078766
biodiversity_0070	0.813040	0.844780	0.06515121
biodiversity_0075	0.676719	0.721181	0.10685349
biodiversity_0079	0.316021	0.310185	0.00659180
biodiversity_0080	0.598963	0.668827	0.02648163
biodiversity_0089	0.740929	0.830346	0.01915741
biodiversity_0091	0.986819	1.000000	0.01984024
biodiversity_0092	0.890612	0.955966	0.02269745
biodiversity_0094	0.895001	0.932960	0.04694366
biodiversity_0095	0.917924	0.943513	0.09420776
biodiversity_0099	0.898106	0.927671	0.04662323
biodiversity_0100	0.878708	0.903233	0.07009125
biodiversity_0107	0.847834	0.896138	0.02321243
biodiversity_0109	0.817594	0.846792	0.07397461
biodiversity_0110	0.751294	0.785879	0.16041183
biodiversity_0111	0.660703	0.694937	0.09967422
biodiversity_0115	0.491887	0.531125	0.00955963
biodiversity_0116	0.555030	0.593411	0.02674866
biodiversity_0117	0.694688	0.748130	0.03468323
biodiversity_0119	0.453562	0.524845	0.00491333
biodiversity_0120	0.595652	0.621811	0.04410934
biodiversity_0121	0.658554	0.693867	0.16987991
biodiversity_0122	0.726418	0.769864	0.13068390
biodiversity_0124	0.110782	0.086265	0.01583099
biodiversity_0126	0.460574	0.508910	0.01498413
biodiversity_0128	0.731721	0.784339	0.03921509
biodiversity_0129	0.796413	0.910490	0.00818253
biodiversity_0136	0.667293	0.751295	0.02429581
biodiversity_0137	0.576789	0.662427	0.02429581
biodiversity_0138	0.987046	1.000000	0.02576447
biodiversity_0141	0.934982	0.976928	0.02843857
biodiversity_0142	0.928890	0.965338	0.04622269
biodiversity_0143	0.966263	0.983457	0.02259827
biodiversity_0146	0.915059	0.947407	0.04627609
biodiversity_0147	0.830433	0.860345	0.09735107
biodiversity_0148	0.774609	0.799537	0.05107498
biodiversity_0153	0.886641	0.925743	0.02167892
biodiversity_0154	0.851916	0.888001	0.03198242
biodiversity_0155	0.817146	0.883921	0.01288223
biodiversity_0156	0.629465	0.762082	0.01128769
biodiversity_0158	0.608740	0.647896	0.06516647
biodiversity_0159	0.703382	0.744569	0.03635025
biodiversity_0160	0.418783	0.443872	0.01036453
biodiversity_0163	0.821024	0.862843	0.01223755
biodiversity_0172	0.700801	0.750842	0.08380890
biodiversity_0173	0.643875	0.673118	0.17126846
biodiversity_0174	0.690381	0.712258	0.14486313
biodiversity_0176	0.865269	0.932290	0.01949310
biodiversity_0184	0.603286	0.665597	0.03923035
biodiversity_0185	0.820405	0.866206	0.05134964
biodiversity_0186	0.800585	0.840529	0.05796051
biodiversity_0187	0.696268	0.743539	0.01535034
biodiversity_0188	0.674253	0.784258	0.00935364
biodiversity_0194	0.784002	0.809843	0.14804840
biodiversity_0195	0.775534	0.798033	0.04963684
biodiversity_0196	0.122293	0.000000	0.00002670
biodiversity_0198	0.493228	0.519310	0.02321243
biodiversity_0199	0.841228	0.870660	0.04152679
biodiversity_0200	0.867873	0.896590	0.05157089
biodiversity_0202	0.854989	0.928864	0.01769638
biodiversity_0205	0.756780	0.802460	0.03721237
biodiversity_0206	0.648076	0.726796	0.02256393
biodiversity_0207	0.738886	0.785193	0.00680161
biodiversity_0210	0.846642	0.873255	0.01038361
biodiversity_0211	0.937077	0.959956	0.04906082
